,Price,Price $ Change,Price % Change,Comp. Rating,EPS Rating,RS Rating,Ind Grp RS,SMR Rating,Acc/Dis Rating,Spon Rating,Vol. % Change,Vol. (1000s),Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap,Company,Sector,Industry,Country
NTP,12.13,-0.2,-1.62,86.0,43.0,88.0,9.0,4.0,10.0,1.0,-66.0,77,0.88,0.87,-0.0046,0.2109,0.5814,-0.1517,2.2261,56.02,12.13,-0.0178,0.0016,Nam Tai Property Inc.,Real Estate,Real Estate Services,China
MLI,42.34,0.99,2.39,92.0,86.0,71.0,10.0,4.0,9.0,2.0,-27.0,213,1.18,1.36,0.0048,0.0688,0.2912,-0.0583,1.0239,55.99,42.32,0.018500000000000003,0.0048,"Mueller Industries, Inc.",Industrials,Metal Fabrication,USA
LCUT,14.65,-0.04,-0.27,84.0,67.0,84.0,8.0,4.0,9.0,2.0,-17.0,44,1.31,0.79,-0.0146,0.024300000000000002,0.2698,-0.1121,3.4939,49.88,14.65,-0.008100000000000001,0.0054,"Lifetime Brands, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
AES,27.1,0.29,1.08,64.0,76.0,75.0,2.0,4.0,2.0,3.0,-18.0,6119,0.8,0.83,0.0125,0.0111,0.29719999999999996,-0.0688,1.4609,53.43,27.07,0.0011,0.0086,The AES Corporation,Utilities,Utilities - Diversified,USA
ZBRA,491.78,6.6,1.36,93.0,88.0,86.0,10.0,4.0,4.0,4.0,-33.0,265,1.64,14.88,0.0449,0.0795,0.4294,-0.0484,1.8821,61.65,491.78,0.0038,0.0098,Zebra Technologies Corporation,Technology,Communication Equipment,USA
MSON,19.73,0.14,0.71,60.0,28.0,82.0,9.0,2.0,10.0,3.0,-36.0,44,1.43,1.26,0.022000000000000002,0.1263,0.4071,-0.0471,1.4002000000000001,58.59,19.73,0.0092,-0.002,"Misonix, Inc.",Healthcare,Medical Devices,USA
SMG,249.88,4.91,2.0,97.0,88.0,82.0,11.0,5.0,7.0,4.0,-29.0,309,1.18,8.11,0.1024,0.0959,0.39270000000000005,0.0,1.618,67.71,250.0,0.0108,0.0096,The Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs,USA
MHK,198.02,5.71,2.97,85.0,72.0,89.0,8.0,3.0,9.0,3.0,-14.0,482,1.57,6.49,0.0623,0.15789999999999998,0.6052000000000001,0.004699999999999999,2.3019,65.78,198.28,0.0191,0.0118,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
AGCO,144.46,0.81,0.56,96.0,95.0,91.0,10.0,4.0,9.0,3.0,-46.0,359,1.34,4.53,0.0392,0.1336,0.5822999999999999,-0.027200000000000002,2.3711,62.74,144.42,0.0042,0.0012,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA
KOPN,10.4,-0.09,-0.86,98.0,67.0,99.0,12.0,3.0,13.0,4.0,-38.0,4150,2.34,1.44,0.09699999999999999,0.2109,2.0632,-0.2364,29.5882,55.59,10.4,0.0019,-0.0105,Kopin Corporation,Technology,Electronic Components,USA
BKE,39.4,0.12,0.3,97.0,76.0,91.0,12.0,4.0,9.0,3.0,-8.0,463,1.18,1.78,-0.0163,0.013999999999999999,0.5177,-0.087,2.5666,49.5,39.36,-0.008100000000000001,0.0102,"The Buckle, Inc.",Consumer Cyclical,Apparel Retail,USA
ARCB,71.99,1.62,2.3,97.0,94.0,95.0,10.0,3.0,10.0,2.0,-57.0,112,1.85,3.28,0.0325,0.19920000000000002,0.7529,-0.04,3.5248000000000004,60.65,71.99,0.0216,0.0014000000000000002,ArcBest Corporation,Industrials,Trucking,USA
DHI,90.95,1.83,2.05,99.0,99.0,80.0,6.0,5.0,8.0,4.0,-26.0,2413,1.63,3.29,0.08779999999999999,0.13140000000000002,0.2625,0.0,1.9183000000000001,65.57,91.05,0.0111,0.0104,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,USA
RCKY,56.97,2.91,5.38,99.0,97.0,94.0,7.0,4.0,13.0,2.0,157.0,156,0.58,2.79,0.18539999999999998,0.3834,0.9323,0.031400000000000004,2.4506,74.23,56.97,0.0404,0.0129,"Rocky Brands, Inc.",Consumer Cyclical,Footwear & Accessories,USA
AVNT,47.96,0.69,1.46,95.0,68.0,83.0,12.0,4.0,8.0,3.0,-30.0,417,1.65,1.98,-0.0068000000000000005,0.0703,0.38549999999999995,-0.0768,1.8074000000000001,52.76,47.95,0.0046,0.0097,Avient Corporation,Basic Materials,Specialty Chemicals,USA
TWI,9.61,0.33,3.5,77.0,52.0,98.0,10.0,1.0,9.0,2.0,-40.0,328,2.48,0.76,0.0641,0.1779,1.1406999999999998,-0.10769999999999999,8.1524,58.03,9.61,0.0434,-0.0075,"Titan International, Inc.",Industrials,Farm & Heavy Construction Machinery,USA
CENT,56.46,-1.55,-2.67,95.0,95.0,77.0,12.0,4.0,9.0,3.0,48.0,140,0.59,2.02,0.0678,0.16570000000000001,0.35850000000000004,-0.1025,1.1063,66.65,56.46,-0.0155,-0.011399999999999999,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,USA
PFC,33.45,0.19,0.57,97.0,90.0,87.0,11.0,5.0,11.0,3.0,-37.0,98,1.55,1.36,0.0106,0.0943,0.5162,-0.0681,1.6632,58.19,33.45,0.01,-0.0042,Premier Financial Corp.,Financial,Banks - Regional,USA
MHO,61.21,2.14,3.62,97.0,99.0,90.0,6.0,5.0,10.0,3.0,-11.0,262,2.08,3.0,0.0974,0.1421,0.3457,0.0073,3.7212,63.11,61.14,0.0195,0.0152,"M/I Homes, Inc.",Consumer Cyclical,Residential Construction,USA
FFIN,46.84,0.11,0.24,97.0,91.0,75.0,13.0,5.0,7.0,3.0,-26.0,409,0.9,1.79,-0.024300000000000002,0.052300000000000006,0.3433,-0.0922,0.9983,50.67,46.84,0.009300000000000001,-0.0068000000000000005,"First Financial Bankshares, Inc.",Financial,Banks - Regional,USA
CNTY,11.26,0.99,9.64,90.0,74.0,95.0,9.0,2.0,10.0,2.0,22.0,388,3.08,0.76,0.1329,0.29710000000000003,0.7877,-0.1566,4.4135,64.62,11.26,0.0817,0.013600000000000001,"Century Casinos, Inc.",Consumer Cyclical,Resorts & Casinos,USA
UFPI,77.33,1.49,1.96,98.0,98.0,77.0,10.0,5.0,11.0,3.0,0.0,363,1.5,2.42,0.1084,0.2113,0.34850000000000003,0.0131,1.3765,72.77,77.33,0.016,0.0036,"UFP Industries, Inc.",Basic Materials,Lumber & Wood Production,USA
SCHN,42.78,0.99,2.37,89.0,60.0,91.0,10.0,2.0,10.0,3.0,-25.0,227,1.35,2.27,0.0302,0.16570000000000001,0.6444,-0.08710000000000001,2.6975,58.5,42.78,0.0147,0.0089,"Schnitzer Steel Industries, Inc.",Basic Materials,Steel,USA
PLT,40.35,1.44,3.7,90.0,67.0,96.0,11.0,4.0,7.0,3.0,-35.0,416,1.92,3.01,0.005,0.0315,0.6635,-0.2075,4.4796,51.48,40.33,0.01,0.0262,"Plantronics, Inc.",Technology,Communication Equipment,USA
NNBR,7.24,0.17,2.4,77.0,49.0,89.0,10.0,2.0,9.0,2.0,-2.0,227,3.41,0.54,-0.0103,0.045700000000000005,0.2059,-0.1562,4.3829,51.13,7.24,0.0154,0.0085,"NN, Inc.",Industrials,Conglomerates,USA
LEA,180.01,-1.24,-0.68,76.0,54.0,78.0,11.0,2.0,8.0,3.0,-39.0,293,1.61,6.21,-0.0017000000000000001,0.063,0.2973,-0.08220000000000001,1.6040999999999999,53.91,180.13,-0.0139,0.0078000000000000005,Lear Corporation,Consumer Cyclical,Auto Parts,USA
EXP,135.38,0.97,0.72,94.0,88.0,83.0,8.0,5.0,10.0,4.0,9.0,401,1.25,4.97,0.041100000000000005,0.0955,0.4022,-0.030899999999999997,1.7893000000000001,62.36,135.28,0.008,-0.0015,Eagle Materials Inc.,Basic Materials,Building Materials,USA
MATW,41.14,1.59,4.02,81.0,74.0,83.0,7.0,3.0,9.0,3.0,-20.0,111,1.17,1.46,0.027200000000000002,0.1382,0.5297999999999999,-0.0322,1.4186,64.83,41.14,0.0355,0.0046,Matthews International Corporation,Industrials,Conglomerates,USA
ADTN,17.18,0.5,3.0,81.0,74.0,76.0,9.0,2.0,8.0,3.0,-47.0,171,1.43,0.89,-0.0098,0.006999999999999999,0.2797,-0.1149,1.2937,50.76,17.18,0.016,0.0138,"ADTRAN, Inc.",Technology,Communication Equipment,USA
DAR,73.39,-0.19,-0.26,97.0,78.0,93.0,10.0,4.0,11.0,3.0,-30.0,1077,1.08,3.37,-0.0042,0.0533,0.5502,-0.0785,3.3278,53.73,73.4,-0.014199999999999999,0.012,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,USA
UHAL,614.25,1.65,0.27,98.0,82.0,84.0,12.0,4.0,9.0,3.0,-33.0,38,0.89,18.35,0.0204,0.125,0.4825,-0.0663,1.4767,62.5,614.25,0.0053,-0.0026,AMERCO,Industrials,Rental & Leasing Services,USA
RCII,58.98,1.32,2.29,98.0,73.0,93.0,12.0,5.0,12.0,3.0,-38.0,403,1.6,2.79,-0.004,0.0891,0.5636,-0.0897,3.7796,53.88,58.98,0.0015,0.0213,"Rent-A-Center, Inc.",Industrials,Rental & Leasing Services,USA
BRKS,90.64,8.99,11.0,99.0,94.0,88.0,12.0,4.0,9.0,3.0,18.0,799,1.96,6.24,0.10890000000000001,0.1002,0.4523,-0.0124,2.4569,58.13,90.64,0.08470000000000001,0.023399999999999997,"Brooks Automation, Inc.",Technology,Semiconductor Equipment & Materials,USA
ASML,637.1,19.7,3.19,99.0,95.0,82.0,12.0,5.0,13.0,4.0,91.0,1898,1.07,23.58,0.14,0.1309,0.43689999999999996,0.015600000000000001,1.6299000000000001,64.41,637.1,0.0279,0.004,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands
SYX,42.22,1.1,2.68,95.0,96.0,86.0,9.0,5.0,6.0,3.0,-60.0,40,0.52,1.33,0.10490000000000001,0.0613,0.46990000000000004,-0.0679,1.926,66.81,42.27,0.0129,0.0148,Systemax Inc.,Industrials,Industrial Distribution,USA
FCX,33.72,0.79,2.4,98.0,74.0,95.0,12.0,3.0,6.0,3.0,-39.0,15247,2.13,1.82,-0.013500000000000002,0.026600000000000002,0.5517,-0.1366,4.4984,50.58,33.76,0.0078000000000000005,0.0173,Freeport-McMoRan Inc.,Basic Materials,Copper,USA
KFRC,54.29,0.69,1.29,92.0,91.0,80.0,10.0,4.0,9.0,3.0,-36.0,75,1.38,1.71,0.0282,0.09910000000000001,0.3839,-0.0204,1.2406,61.23,54.29,0.0134,-0.0006,Kforce Inc.,Industrials,Staffing & Employment Services,USA
AEIS,116.7,7.53,6.9,96.0,87.0,82.0,12.0,5.0,8.0,3.0,-3.0,301,1.82,5.87,0.11289999999999999,0.0833,0.3525,-0.0705,1.7932,60.8,116.7,0.044000000000000004,0.0239,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA
SAM,1182.16,-24.1,-2.0,97.0,93.0,85.0,4.0,5.0,10.0,4.0,-19.0,91,0.78,54.99,0.0733,0.1056,0.30260000000000004,-0.056799999999999996,2.3934,61.02,1184.68,-0.034,0.0167,"The Boston Beer Company, Inc.",Consumer Defensive,Beverages - Brewers,USA
AMRX,6.61,-0.12,-1.78,85.0,72.0,79.0,2.0,5.0,11.0,2.0,-55.0,1041,1.31,0.45,0.0278,0.1585,0.39159999999999995,-0.11349999999999999,1.4354,55.36,6.6,-0.0179,-0.0015,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
CDMO,19.18,0.95,5.21,87.0,74.0,94.0,7.0,3.0,10.0,3.0,-37.0,566,2.28,1.36,0.1082,0.1047,0.7857,-0.1333,3.8557,60.48,19.18,0.0441,0.0077,"Avid Bioservices, Inc.",Healthcare,Biotechnology,USA
SASR,43.5,0.07,0.16,99.0,91.0,82.0,11.0,5.0,8.0,3.0,-17.0,158,1.14,1.57,0.0232,0.1244,0.4673,-0.0292,1.3151,58.57,43.5,0.0051,-0.0034999999999999996,"Sandy Spring Bancorp, Inc.",Financial,Banks - Regional,USA
CNOB,25.6,0.25,0.99,90.0,62.0,79.0,11.0,5.0,8.0,3.0,-34.0,103,1.38,1.16,-0.0178,0.0642,0.4007,-0.0935,1.3681999999999999,52.9,25.6,0.013500000000000002,-0.0036,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,USA
TRQ,16.64,0.55,3.42,99.0,69.0,92.0,12.0,4.0,11.0,2.0,-62.0,401,2.15,0.97,0.044500000000000005,0.1516,0.5613,-0.0857,3.4731,56.91,16.64,0.0265,0.0075,Turquoise Hill Resources Ltd.,Basic Materials,Copper,Canada
TTEC,99.62,-0.83,-0.83,95.0,94.0,88.0,5.0,5.0,9.0,3.0,-18.0,157,0.83,3.96,0.0733,0.1457,0.5329,-0.0377,2.1899,63.5,99.62,-0.008100000000000001,-0.0002,"TTEC Holdings, Inc.",Technology,Information Technology Services,USA
CSV,36.14,0.95,2.7,88.0,81.0,81.0,7.0,5.0,4.0,3.0,-28.0,79,0.81,1.07,0.013500000000000002,0.0318,0.3356,-0.054400000000000004,1.6691,56.81,36.14,0.024700000000000003,0.0023,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,USA
HIBB,69.45,0.56,0.81,94.0,84.0,96.0,8.0,5.0,6.0,2.0,-37.0,313,1.79,4.43,0.0128,0.0902,0.5967,-0.1133,6.524400000000001,53.02,69.45,-0.0014000000000000002,0.0096,"Hibbett Sports, Inc.",Consumer Cyclical,Specialty Retail,USA
UNFI,32.86,-0.08,-0.24,92.0,72.0,93.0,10.0,3.0,11.0,2.0,-46.0,799,1.24,2.44,-0.0356,0.1011,0.5748,-0.2052,2.8728,52.11,32.88,-0.0018,0.0,"United Natural Foods, Inc.",Consumer Defensive,Food Distribution,USA
STLD,50.97,0.21,0.41,96.0,84.0,84.0,12.0,3.0,5.0,3.0,-18.0,1935,1.44,2.11,0.06570000000000001,0.1928,0.4721,-0.0241,1.4838999999999998,65.07,50.97,0.0113,-0.0070999999999999995,"Steel Dynamics, Inc.",Basic Materials,Steel,USA
LAD,398.36,8.27,2.12,94.0,97.0,94.0,7.0,4.0,6.0,4.0,-46.0,170,1.88,17.6,0.0322,0.07780000000000001,0.4384,-0.04650000000000001,5.153300000000001,57.06,398.55,0.0172,0.0044,"Lithia Motors, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
HLIO,72.98,0.11,0.15,94.0,80.0,84.0,8.0,4.0,11.0,3.0,-9.0,98,1.15,2.59,0.0111,0.1152,0.4905,-0.0397,1.5141999999999998,58.96,72.98,0.0037,-0.0022,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,USA
VCEL,53.2,-2.35,-4.23,89.0,58.0,97.0,7.0,3.0,11.0,3.0,-35.0,649,2.16,3.77,0.0808,0.12240000000000001,0.9353,-0.1133,5.8118,55.54,53.2,-0.055099999999999996,0.013500000000000002,Vericel Corporation,Healthcare,Biotechnology,USA
LOGI,107.98,3.48,3.33,98.0,99.0,76.0,9.0,5.0,2.0,3.0,-52.0,437,0.91,3.4,0.0755,0.0182,0.2551,-0.102,1.5641999999999998,58.79,107.98,0.014199999999999999,0.0189,Logitech International S.A.,Technology,Computer Hardware,Switzerland
CBD,5.63,-0.19,-3.26,78.0,79.0,83.0,4.0,3.0,11.0,1.0,18.0,1936,0.95,0.31,0.15869999999999998,0.2379,0.4539,-0.071,1.1297,65.17,5.63,-0.036000000000000004,0.0034000000000000002,Companhia Brasileira de Distribuicao,Consumer Cyclical,Department Stores,Brazil
QRVO,192.9,10.2,5.58,99.0,94.0,78.0,10.0,5.0,10.0,4.0,32.0,1971,1.42,8.24,0.09970000000000001,0.1018,0.3176,0.005600000000000001,1.645,61.25,192.9,0.038,0.0172,"Qorvo, Inc.",Technology,Semiconductors,USA
PPBI,43.52,0.08,0.18,96.0,35.0,87.0,13.0,4.0,11.0,3.0,-12.0,431,1.4,1.71,-0.0131,0.08460000000000001,0.5156000000000001,-0.077,1.7915,53.57,43.52,0.0044,-0.0025,"Pacific Premier Bancorp, Inc.",Financial,Banks - Regional,USA
TSM,124.87,6.59,5.57,95.0,89.0,82.0,10.0,5.0,7.0,4.0,35.0,17565,0.95,4.65,0.0756,0.0019,0.3062,-0.1223,1.6955,56.94,124.8,0.019799999999999998,0.0347,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan
IESC,53.44,3.03,6.01,96.0,93.0,88.0,5.0,4.0,13.0,3.0,113.0,103,1.38,2.39,0.0919,0.1105,0.43770000000000003,-0.0336,2.3463,64.59,53.44,0.0576,0.0024,"IES Holdings, Inc.",Industrials,Engineering & Construction,USA
CRAI,75.1,0.46,0.62,94.0,87.0,86.0,7.0,4.0,10.0,3.0,75.0,72,1.52,2.94,0.081,0.215,0.5567,-0.0049,1.4463,68.9,75.1,0.004,0.0021,"CRA International, Inc.",Industrials,Consulting Services,USA
AMKR,24.56,0.85,3.58,98.0,94.0,91.0,10.0,5.0,10.0,3.0,-47.0,1321,1.67,1.36,0.0915,0.1577,0.6131,-0.0579,2.4422,59.77,24.56,0.015300000000000001,0.0202,"Amkor Technology, Inc.",Technology,Semiconductors,USA
AXTI,12.31,0.65,5.57,99.0,74.0,92.0,12.0,3.0,11.0,3.0,-40.0,341,2.43,1.0,0.0161,0.0102,0.5163,-0.2229,3.4600999999999997,51.34,12.31,0.028399999999999998,0.026600000000000002,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,USA
SNBR,142.0,-1.49,-1.04,96.0,99.0,98.0,11.0,5.0,10.0,3.0,-22.0,430,2.08,9.79,0.0263,0.1211,0.8654000000000001,-0.0623,8.299299999999999,55.67,142.0,-0.019,0.0088,Sleep Number Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
GGB,5.12,-0.23,-4.21,92.0,68.0,78.0,12.0,2.0,11.0,2.0,140.0,23890,1.54,0.25,0.0353,0.09230000000000001,0.2681,-0.061399999999999996,2.0412,55.93,5.11,-0.0466,0.0037,Gerdau S.A.,Basic Materials,Steel,Brazil
INFY,19.01,0.29,1.55,87.0,78.0,77.0,8.0,5.0,8.0,1.0,-50.0,4207,0.89,0.41,0.0166,0.0495,0.2733,-0.018600000000000002,1.5483000000000002,56.88,19.01,0.0048,0.010700000000000001,Infosys Limited,Technology,Information Technology Services,India
MKSI,195.84,10.4,5.61,99.0,95.0,83.0,12.0,5.0,10.0,4.0,-15.0,451,1.6,9.78,0.15109999999999998,0.16390000000000002,0.43229999999999996,0.0184,1.6609,65.21,195.84,0.034300000000000004,0.021099999999999997,"MKS Instruments, Inc.",Technology,Scientific & Technical Instruments,USA
ATLC,30.42,0.09,0.3,84.0,74.0,91.0,11.0,5.0,9.0,2.0,-50.0,31,1.04,2.65,0.0364,0.06849999999999999,0.7293999999999999,-0.10529999999999999,3.0879000000000003,55.82,30.42,-0.0111,0.014199999999999999,Atlanticus Holdings Corporation,Financial,Credit Services,USA
WCC,87.15,0.62,0.72,81.0,67.0,91.0,8.0,4.0,5.0,3.0,-45.0,293,2.49,4.4,-0.0084,0.0338,0.44270000000000004,-0.08560000000000001,3.275,51.81,87.04,-0.0075,0.013500000000000002,"WESCO International, Inc.",Industrials,Industrial Distribution,USA
FFIV,211.11,2.49,1.19,79.0,65.0,73.0,5.0,5.0,9.0,4.0,-41.0,453,1.1,5.41,0.060599999999999994,0.060700000000000004,0.32539999999999997,-0.0222,1.0815000000000001,65.47,211.11,0.0032,0.0087,"F5 Networks, Inc.",Technology,Software - Infrastructure,USA
UTHR,192.34,25.1,15.0,88.0,70.0,78.0,7.0,5.0,11.0,3.0,364.0,1605,0.46,7.83,0.16449999999999998,0.1506,0.42979999999999996,0.061799999999999994,1.1397,72.35,192.34,0.039900000000000005,0.1058,United Therapeutics Corporation,Healthcare,Biotechnology,USA
PRFT,61.0,2.28,3.88,96.0,92.0,79.0,8.0,5.0,10.0,3.0,27.0,360,1.5,2.03,0.026000000000000002,0.0431,0.309,-0.04019999999999999,1.5902,57.38,61.0,0.0297,0.0089,"Perficient, Inc.",Technology,Information Technology Services,USA
MFC,21.76,0.26,1.21,83.0,71.0,72.0,7.0,4.0,10.0,1.0,-50.0,1801,1.4,0.42,0.0144,0.0776,0.3164,-0.0229,1.0018,62.07,21.74,0.011200000000000002,0.0,Manulife Financial Corporation,Financial,Insurance - Life,Canada
CE,151.72,1.91,1.27,72.0,60.0,75.0,6.0,4.0,6.0,4.0,-35.0,584,1.23,4.28,0.030699999999999998,0.10189999999999999,0.2832,-0.024,1.2832,61.25,151.89,0.0118,0.0021,Celanese Corporation,Basic Materials,Chemicals,USA
KTOS,28.29,1.01,3.7,78.0,79.0,72.0,9.0,3.0,5.0,4.0,-8.0,1371,0.76,1.5,0.0933,0.0074,0.2651,-0.17059999999999997,1.2136,57.12,28.29,0.0217,0.015,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,USA
BGCP,5.04,0.21,4.35,84.0,48.0,83.0,12.0,4.0,10.0,2.0,36.0,4974,1.96,0.26,0.1264,0.1653,0.4794,-0.0195,1.4347999999999999,68.86,5.04,0.041299999999999996,0.0021,"BGC Partners, Inc.",Financial,Capital Markets,USA
MET,61.63,0.84,1.38,81.0,89.0,80.0,5.0,3.0,7.0,2.0,-45.0,3344,1.33,1.53,0.0236,0.09210000000000002,0.3729,-0.0169,1.2965,60.06,61.6,0.013999999999999999,-0.0007000000000000001,"MetLife, Inc.",Financial,Insurance - Life,USA
CAMT,32.94,3.04,10.2,99.0,95.0,93.0,5.0,5.0,9.0,4.0,54.0,456,1.66,1.95,0.1441,0.19399999999999998,0.6685,0.013500000000000002,3.3066000000000004,64.76,32.94,0.0527,0.04650000000000001,Camtek Ltd.,Technology,Semiconductor Equipment & Materials,Israel
NVMI,95.59,4.58,5.03,98.0,86.0,87.0,12.0,5.0,8.0,4.0,33.0,227,1.15,4.44,0.1286,0.16870000000000002,0.5032,0.046,2.0579,66.56,95.59,0.0259,0.023799999999999998,Nova Measuring Instruments Ltd.,Technology,Semiconductor Equipment & Materials,Israel
CRL,294.07,4.24,1.46,91.0,92.0,75.0,6.0,5.0,10.0,4.0,-10.0,282,1.12,8.7,0.0388,0.0481,0.2412,-0.0317,1.5268000000000002,58.27,294.17,0.0074,0.0075,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA
ACLS,47.6,6.51,15.8,98.0,92.0,88.0,12.0,5.0,11.0,3.0,161.0,1003,1.41,2.69,0.2346,0.2441,0.6228,0.07690000000000001,1.9546999999999999,68.01,47.6,0.1355,0.0202,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA
ENTG,120.09,8.29,7.42,98.0,95.0,85.0,12.0,5.0,10.0,4.0,64.0,1540,1.29,5.53,0.1591,0.1642,0.4277,0.053399999999999996,1.9623,66.73,120.09,0.0604,0.013000000000000001,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,USA
BG,80.2,0.93,1.17,95.0,82.0,80.0,10.0,4.0,10.0,3.0,-29.0,1099,0.67,2.3,0.0217,0.0644,0.38520000000000004,-0.0259,1.4541,58.13,80.2,0.0064,0.0053,Bunge Limited,Consumer Defensive,Farm Products,USA
UCBI,34.23,0.11,0.32,97.0,74.0,78.0,13.0,5.0,13.0,3.0,-37.0,290,1.33,1.32,-0.0179,0.028900000000000002,0.40240000000000004,-0.0665,1.2896,50.32,34.23,0.01,-0.0067,"United Community Banks, Inc.",Financial,Banks - Regional,USA
BGFV,16.48,0.78,4.97,95.0,76.0,99.0,8.0,4.0,11.0,2.0,-33.0,675,2.93,1.24,0.095,0.1321,0.8481000000000001,-0.0726,24.3538,59.61,16.48,0.0358,0.0134,Big 5 Sporting Goods Corporation,Consumer Cyclical,Specialty Retail,USA
PFS,22.44,0.16,0.72,86.0,63.0,75.0,11.0,4.0,9.0,3.0,-30.0,263,1.04,0.81,-0.0063,0.0837,0.3889,-0.0723,1.129,55.45,22.45,0.0104,-0.0027,"Provident Financial Services, Inc.",Financial,Banks - Regional,USA
HTLF,50.33,0.07,0.14,86.0,71.0,71.0,10.0,4.0,11.0,3.0,-61.0,89,1.35,1.78,-0.0118,0.0542,0.3115,-0.06860000000000001,0.9893000000000001,53.24,50.33,0.0036,-0.0022,"Heartland Financial USA, Inc.",Financial,Banks - Regional,USA
FORM,49.75,4.64,10.3,96.0,89.0,82.0,12.0,5.0,9.0,3.0,28.0,623,1.46,2.74,0.1361,0.0967,0.3834,-0.0504,1.8991999999999998,61.51,49.75,0.0766,0.024399999999999998,"FormFactor, Inc.",Technology,Semiconductors,USA
SNX,116.91,2.07,1.8,98.0,97.0,92.0,9.0,4.0,10.0,3.0,-16.0,290,1.72,3.84,0.1168,0.2323,0.5377000000000001,-0.0086,2.5035,73.35,116.98,0.0113,0.0072,SYNNEX Corporation,Technology,Information Technology Services,USA
TPX,37.47,0.91,2.49,97.0,89.0,91.0,6.0,5.0,9.0,3.0,-33.0,1646,2.06,1.54,0.001,0.12269999999999999,0.4802,-0.0664,3.7517,55.65,37.42,0.0163,0.0070999999999999995,"Tempur Sealy International, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
PIPR,112.35,2.7,2.46,96.0,92.0,78.0,12.0,5.0,5.0,3.0,-34.0,54,1.37,4.27,-0.002,0.0629,0.3194,-0.09300000000000001,1.4598,54.44,112.49,0.0263,-0.0004,Piper Sandler Companies,Financial,Capital Markets,USA
ONCT,8.36,0.04,0.48,79.0,48.0,96.0,7.0,2.0,12.0,4.0,-46.0,800,1.69,0.81,0.1217,0.2032,1.1018999999999999,-0.1153,4.6107,57.41,8.36,-0.010700000000000001,0.015600000000000001,"Oncternal Therapeutics, Inc.",Healthcare,Biotechnology,USA
TBBK,21.13,0.41,1.98,99.0,96.0,93.0,11.0,4.0,10.0,2.0,-33.0,365,1.47,1.17,-0.054299999999999994,0.0375,0.6254,-0.1383,3.6748000000000003,48.27,21.13,0.0277,-0.0077,"The Bancorp, Inc.",Financial,Banks - Regional,USA
DVAX,9.73,-0.1,-1.02,78.0,55.0,91.0,7.0,2.0,12.0,3.0,-78.0,1511,1.25,0.78,0.0084,0.0843,0.46270000000000006,-0.21780000000000002,2.3668,52.02,9.73,-0.0172,0.0070999999999999995,Dynavax Technologies Corporation,Healthcare,Biotechnology,USA
UCTT,63.64,5.6,9.65,99.0,97.0,96.0,12.0,5.0,13.0,3.0,110.0,1182,2.08,4.08,0.22649999999999998,0.3298,0.9904999999999999,0.071,4.1447,67.06,63.64,0.0556,0.0388,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA
ABR,16.15,0.25,1.57,91.0,85.0,86.0,7.0,5.0,9.0,3.0,-6.0,1399,1.93,0.59,-0.0016,0.028399999999999998,0.268,-0.0599,3.2751,51.69,16.16,0.009399999999999999,0.0069,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA
GHL,16.83,0.35,2.12,85.0,39.0,75.0,12.0,4.0,11.0,3.0,-71.0,73,1.03,0.96,-0.0052,0.1153,0.3119,-0.1023,1.1535,55.4,16.84,0.023700000000000002,-0.0018,"Greenhill & Co., Inc.",Financial,Capital Markets,USA
XPO,127.46,4.16,3.37,72.0,72.0,78.0,4.0,3.0,5.0,4.0,-37.0,698,2.18,4.74,0.0501,0.0664,0.2621,-0.03,1.9091999999999998,58.62,127.48,0.0341,-0.0002,"XPO Logistics, Inc.",Industrials,Integrated Freight & Logistics,USA
